2023-04-04 22:02:50,358 INFO    MainThread:36288 [wandb_setup.py:_flush():68] Configure stats pid to 36288
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_setup.py:_flush():68] Loading settings from C:\Users\MSI\.config\wandb\settings
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_setup.py:_flush():68] Loading settings from D:\Projects\PFedTrans\system\wandb\settings
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:_log_setup():492] Logging user logs to D:\Projects\PFedTrans\system\wandb\run-20230404_220250-kizi9ztn\logs\debug.log
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:_log_setup():493] Logging internal logs to D:\Projects\PFedTrans\system\wandb\run-20230404_220250-kizi9ztn\logs\debug-internal.log
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:init():532] calling init triggers
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.005, 'number_of_client': 100, 'epochs': 200}
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:init():588] starting backend
2023-04-04 22:02:50,359 INFO    MainThread:36288 [wandb_init.py:init():592] setting up manager
2023-04-04 22:02:50,361 INFO    MainThread:36288 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-04 22:02:50,364 INFO    MainThread:36288 [wandb_init.py:init():599] backend started and connected
2023-04-04 22:02:50,365 INFO    MainThread:36288 [wandb_init.py:init():687] updated telemetry
2023-04-04 22:02:50,366 INFO    MainThread:36288 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-04-04 22:02:51,072 INFO    MainThread:36288 [wandb_run.py:_on_init():2134] communicating current version
2023-04-04 22:02:51,613 INFO    MainThread:36288 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-04 22:02:51,614 INFO    MainThread:36288 [wandb_init.py:init():775] starting run threads in backend
2023-04-04 22:02:51,731 INFO    MainThread:36288 [wandb_run.py:_console_start():2114] atexit reg
2023-04-04 22:02:51,731 INFO    MainThread:36288 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-04 22:02:51,731 INFO    MainThread:36288 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-04 22:02:51,731 INFO    MainThread:36288 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-04 22:02:51,731 INFO    MainThread:36288 [wandb_init.py:init():817] run started, returning control to user process
