2023-04-06 01:03:12,572 INFO    MainThread:54348 [wandb_setup.py:_flush():68] Configure stats pid to 54348
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_setup.py:_flush():68] Loading settings from C:\Users\MSI\.config\wandb\settings
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_setup.py:_flush():68] Loading settings from D:\Projects\PFedTrans\system\wandb\settings
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_init.py:_log_setup():492] Logging user logs to D:\Projects\PFedTrans\system\wandb\run-20230406_010312-onje0qq1\logs\debug.log
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_init.py:_log_setup():493] Logging internal logs to D:\Projects\PFedTrans\system\wandb\run-20230406_010312-onje0qq1\logs\debug-internal.log
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_init.py:init():532] calling init triggers
2023-04-06 01:03:12,573 INFO    MainThread:54348 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.005, 'number_of_client': 20, 'epochs': 1000}
2023-04-06 01:03:12,574 INFO    MainThread:54348 [wandb_init.py:init():588] starting backend
2023-04-06 01:03:12,574 INFO    MainThread:54348 [wandb_init.py:init():592] setting up manager
2023-04-06 01:03:12,576 INFO    MainThread:54348 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-06 01:03:12,580 INFO    MainThread:54348 [wandb_init.py:init():599] backend started and connected
2023-04-06 01:03:12,581 INFO    MainThread:54348 [wandb_init.py:init():687] updated telemetry
2023-04-06 01:03:12,581 INFO    MainThread:54348 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
